block_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
32,0,sim1_ppm,84.402,82.648,1.754,4
32,2,sim3_ppm,85.596,83.869,1.727,4
32,1,sim2_ppm,85.605,83.847,1.757,4
64,1,sim2_ppm,82.711,80.975,1.736,4
64,2,sim3_ppm,83.184,81.440,1.744,4
64,0,sim1_ppm,84.408,82.687,1.721,4
128,2,sim3_ppm,80.758,79.021,1.737,4
128,0,sim1_ppm,84.427,82.702,1.725,4
128,1,sim2_ppm,84.430,82.716,1.714,4
256,2,sim3_ppm,80.311,78.573,1.738,4
256,1,sim2_ppm,81.505,79.770,1.734,4
256,0,sim1_ppm,82.221,80.399,1.822,4
512,0,sim1_ppm,80.609,78.907,1.702,4
512,2,sim3_ppm,80.621,78.926,1.695,4
512,1,sim2_ppm,81.311,79.600,1.711,4
1024,0,sim1_ppm,74.564,72.718,1.846,4
1024,2,sim3_ppm,74.918,73.167,1.752,4
1024,1,sim2_ppm,75.125,73.320,1.805,4
