matrix_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
128,2,sim3_ppm,0.146,0.143,0.003,4
128,0,sim1_ppm,0.234,0.231,0.003,4
128,1,sim2_ppm,0.439,0.436,0.003,4
256,1,sim2_ppm,0.332,0.324,0.008,4
256,2,sim3_ppm,0.336,0.328,0.008,4
256,0,sim1_ppm,0.353,0.345,0.008,4
512,1,sim2_ppm,1.057,1.030,0.027,4
512,2,sim3_ppm,1.100,1.073,0.027,4
512,0,sim1_ppm,1.165,1.138,0.027,4
1024,0,sim1_ppm,4.524,4.416,0.108,4
1024,1,sim2_ppm,4.531,4.420,0.112,4
1024,2,sim3_ppm,4.581,4.472,0.109,4
2048,1,sim2_ppm,19.283,18.844,0.439,4
2048,0,sim1_ppm,19.425,18.985,0.440,4
2048,2,sim3_ppm,19.439,18.997,0.442,4
4096,2,sim3_ppm,77.761,76.002,1.759,4
4096,0,sim1_ppm,78.249,76.417,1.832,4
4096,1,sim2_ppm,78.961,77.019,1.943,4
