omp_threads,rank,scenario,elapsed_s,color_time_s,compute_time_s,reported_threads
1,0,sim1_ppm,79.731,77.697,2.034,1
1,2,sim3_ppm,79.973,78.006,1.967,1
1,1,sim2_ppm,82.254,79.922,2.332,1
2,1,sim2_ppm,85.251,83.545,1.706,2
2,2,sim3_ppm,85.340,83.635,1.705,2
2,0,sim1_ppm,86.703,84.963,1.741,2
4,2,sim3_ppm,79.029,77.307,1.722,4
4,0,sim1_ppm,80.312,78.578,1.733,4
4,1,sim2_ppm,81.046,79.308,1.738,4
8,2,sim3_ppm,80.599,78.864,1.735,8
8,0,sim1_ppm,81.739,79.981,1.759,8
8,1,sim2_ppm,81.742,80.003,1.739,8
16,0,sim1_ppm,80.342,78.564,1.778,16
16,2,sim3_ppm,80.952,79.193,1.760,16
16,1,sim2_ppm,81.253,79.435,1.818,16
32,0,sim1_ppm,84.577,82.777,1.800,32
32,2,sim3_ppm,84.679,82.893,1.786,32
32,1,sim2_ppm,85.165,83.376,1.789,32
