block_size,rank,scenario,elapsed_s,color_time_s,compute_time_s
32,1,sim2_ppm,4.976,4.864,0.112,4
32,0,sim1_ppm,5.039,4.911,0.127,4
32,2,sim3_ppm,5.118,5.006,0.112,4
64,0,sim1_ppm,4.978,4.865,0.113,4
64,2,sim3_ppm,5.047,4.935,0.113,4
64,1,sim2_ppm,5.108,4.996,0.112,4
128,1,sim2_ppm,4.909,4.797,0.112,4
128,0,sim1_ppm,4.953,4.841,0.112,4
128,2,sim3_ppm,5.015,4.900,0.115,4
256,1,sim2_ppm,5.123,5.010,0.113,4
256,2,sim3_ppm,5.162,5.051,0.111,4
256,0,sim1_ppm,5.187,5.074,0.113,4
512,2,sim3_ppm,5.061,4.947,0.114,4
512,0,sim1_ppm,5.163,5.046,0.117,4
512,1,sim2_ppm,5.176,5.065,0.111,4
1024,1,sim2_ppm,5.194,5.059,0.135,4
1024,0,sim1_ppm,5.263,5.151,0.112,4
1024,2,sim3_ppm,5.268,5.153,0.115,4
