matrix_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
128,0,sim1_ppm,0.296,0.293,0.003,4
128,2,sim3_ppm,0.375,0.372,0.003,4
128,1,sim2_ppm,0.427,0.424,0.003,4
256,2,sim3_ppm,0.737,0.729,0.008,4
256,1,sim2_ppm,0.773,0.766,0.008,4
256,0,sim1_ppm,0.846,0.838,0.008,4
512,1,sim2_ppm,2.420,2.389,0.030,4
512,2,sim3_ppm,2.479,2.452,0.027,4
512,0,sim1_ppm,2.568,2.541,0.027,4
1024,2,sim3_ppm,6.989,6.876,0.114,4
1024,0,sim1_ppm,6.995,6.884,0.111,4
1024,1,sim2_ppm,7.058,6.947,0.111,4
2048,2,sim3_ppm,21.525,21.069,0.456,4
2048,0,sim1_ppm,22.165,21.708,0.457,4
2048,1,sim2_ppm,22.375,21.929,0.446,4
