matrix_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
128,1,sim2_ppm,0.257,0.254,0.003,4
128,0,sim1_ppm,0.258,0.255,0.003,4
128,2,sim3_ppm,0.354,0.350,0.004,4
256,2,sim3_ppm,0.544,0.537,0.008,4
256,0,sim1_ppm,0.552,0.544,0.008,4
256,1,sim2_ppm,0.660,0.652,0.007,4
512,1,sim2_ppm,1.921,1.895,0.027,4
512,0,sim1_ppm,1.955,1.929,0.027,4
512,2,sim3_ppm,2.022,1.995,0.027,4
1024,0,sim1_ppm,7.174,7.068,0.106,4
1024,1,sim2_ppm,7.206,7.099,0.107,4
1024,2,sim3_ppm,7.336,7.224,0.112,4
2048,1,sim2_ppm,19.684,19.240,0.444,4
2048,2,sim3_ppm,19.750,19.305,0.445,4
2048,0,sim1_ppm,19.907,19.462,0.445,4
4096,2,sim3_ppm,80.459,78.670,1.789,4
4096,0,sim1_ppm,81.053,79.266,1.787,4
4096,1,sim2_ppm,81.374,79.557,1.817,4
