omp_threads,rank,scenario,elapsed_s,color_time_s,compute_time_s,reported_threads
1,1,sim2_ppm,77.860,75.834,2.026,1
1,0,sim1_ppm,78.132,76.141,1.991,1
1,2,sim3_ppm,79.528,77.353,2.176,1
2,0,sim1_ppm,81.803,80.061,1.742,2
2,1,sim2_ppm,81.806,80.050,1.756,2
2,2,sim3_ppm,81.807,80.049,1.758,2
4,0,sim1_ppm,77.160,75.360,1.799,4
4,1,sim2_ppm,77.190,75.392,1.798,4
4,2,sim3_ppm,77.882,76.050,1.832,4
8,0,sim1_ppm,77.282,75.469,1.813,8
8,2,sim3_ppm,78.127,76.326,1.801,8
8,1,sim2_ppm,78.130,76.331,1.800,8
16,0,sim1_ppm,80.755,78.956,1.799,16
16,2,sim3_ppm,80.998,79.161,1.837,16
16,1,sim2_ppm,82.029,80.219,1.810,16
