block_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
32,2,sim3_ppm,71.210,69.435,1.775,4
32,1,sim2_ppm,71.216,69.446,1.771,4
32,0,sim1_ppm,71.224,69.454,1.770,4
64,1,sim2_ppm,77.146,75.387,1.759,4
64,2,sim3_ppm,78.074,76.334,1.740,4
64,0,sim1_ppm,78.830,77.093,1.737,4
128,1,sim2_ppm,75.479,73.721,1.757,4
128,2,sim3_ppm,75.868,74.116,1.753,4
128,0,sim1_ppm,76.256,74.496,1.760,4
256,2,sim3_ppm,76.712,74.985,1.727,4
256,0,sim1_ppm,77.815,76.087,1.729,4
256,1,sim2_ppm,78.436,76.689,1.747,4
512,2,sim3_ppm,72.941,71.199,1.741,4
512,0,sim1_ppm,74.062,72.284,1.778,4
512,1,sim2_ppm,74.064,72.332,1.731,4
1024,0,sim1_ppm,71.993,70.243,1.750,4
1024,2,sim3_ppm,72.277,70.461,1.815,4
1024,1,sim2_ppm,72.277,70.534,1.743,4
