matrix_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
128,1,sim2_ppm,0.164,0.161,0.003,4
128,2,sim3_ppm,0.257,0.254,0.003,4
128,0,sim1_ppm,0.338,0.335,0.003,4
256,1,sim2_ppm,0.268,0.260,0.008,4
256,2,sim3_ppm,0.296,0.288,0.008,4
256,0,sim1_ppm,0.385,0.378,0.008,4
512,1,sim2_ppm,1.087,1.061,0.026,4
512,2,sim3_ppm,1.092,1.065,0.027,4
512,0,sim1_ppm,1.163,1.136,0.027,4
1024,1,sim2_ppm,4.300,4.190,0.109,4
1024,0,sim1_ppm,4.347,4.237,0.110,4
1024,2,sim3_ppm,4.351,4.243,0.107,4
2048,2,sim3_ppm,17.574,17.138,0.436,4
2048,0,sim1_ppm,17.657,17.217,0.440,4
2048,1,sim2_ppm,17.709,17.266,0.443,4
4096,1,sim2_ppm,73.417,71.681,1.736,4
4096,2,sim3_ppm,73.427,71.639,1.787,4
4096,0,sim1_ppm,74.079,72.324,1.754,4
