omp_threads,rank,scenario,elapsed_s,color_time_s,compute_time_s,reported_threads
1,1,sim2_ppm,77.643,75.664,1.979,1
1,0,sim1_ppm,79.880,77.861,2.019,1
1,2,sim3_ppm,79.882,77.832,2.050,1
2,1,sim2_ppm,75.317,73.616,1.702,2
2,2,sim3_ppm,76.234,74.472,1.761,2
2,0,sim1_ppm,76.235,74.503,1.732,2
4,2,sim3_ppm,73.482,71.710,1.771,4
4,1,sim2_ppm,73.527,71.796,1.731,4
4,0,sim1_ppm,74.743,72.916,1.827,4
8,1,sim2_ppm,74.158,72.432,1.727,8
8,2,sim3_ppm,75.256,73.528,1.728,8
8,0,sim1_ppm,75.258,73.529,1.729,8
16,0,sim1_ppm,72.975,71.181,1.793,16
16,1,sim2_ppm,73.184,71.415,1.769,16
16,2,sim3_ppm,73.957,72.170,1.787,16
32,2,sim3_ppm,74.371,72.611,1.761,32
32,1,sim2_ppm,75.438,73.664,1.774,32
32,0,sim1_ppm,76.114,74.340,1.774,32
