block_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads
32,2,sim3_ppm,87.386,85.580,1.807,4
32,1,sim2_ppm,87.400,85.650,1.750,4
32,0,sim1_ppm,88.862,87.100,1.762,4
64,2,sim3_ppm,78.183,76.443,1.739,4
64,1,sim2_ppm,79.153,77.389,1.765,4
64,0,sim1_ppm,79.978,78.235,1.743,4
128,2,sim3_ppm,77.119,75.353,1.767,4
128,0,sim1_ppm,78.157,76.410,1.748,4
128,1,sim2_ppm,78.694,76.888,1.806,4
256,1,sim2_ppm,79.905,78.140,1.765,4
256,2,sim3_ppm,81.964,80.212,1.752,4
256,0,sim1_ppm,82.617,80.801,1.817,4
512,2,sim3_ppm,78.940,77.173,1.767,4
512,1,sim2_ppm,79.747,77.995,1.752,4
512,0,sim1_ppm,79.747,77.977,1.770,4
1024,1,sim2_ppm,86.415,84.681,1.735,4
1024,2,sim3_ppm,88.216,86.492,1.725,4
1024,0,sim1_ppm,89.258,87.534,1.724,4
