mode,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads,h2d_s,kernel_s,d2h_s,format_s,write_s
solo,0,sim1_ppm,9.474,9.066,0.408,4,0.143,0.036,0.026,0.772,8.088
shared,0,sim1_ppm,20.843,20.408,0.436,4,0.148,0.039,0.026,0.812,19.383
shared,2,sim3_ppm,22.137,21.706,0.432,4,0.143,0.042,0.027,0.814,20.680
shared,1,sim2_ppm,22.230,21.785,0.445,4,0.148,0.041,0.026,0.832,20.738
distributed,0,sim1_ppm,21.249,20.814,0.435,4,0.151,0.037,0.026,0.817,19.783
distributed,2,sim3_ppm,21.374,20.942,0.432,4,0.141,0.143,0.026,0.819,19.812
distributed,1,sim2_ppm,21.547,21.107,0.440,4,0.145,0.035,0.026,0.828,20.073
multinode,0,sim1_ppm,18.758,18.346,0.412,4,0.138,0.036,0.026,0.766,17.380
multinode,1,sim2_ppm,18.783,18.378,0.405,4,0.146,0.036,0.026,0.772,17.397
multinode,2,sim3_ppm,18.878,18.475,0.403,4,0.149,0.037,0.026,0.763,17.500
