matrix_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads,h2d_s,kernel_s,d2h_s,format_s,write_s
128,2,sim3_ppm,0.146,0.143,0.003,4,0.001,0.005,0.000,0.003,0.133
128,0,sim1_ppm,0.234,0.231,0.003,4,0.001,0.106,0.000,0.003,0.121
128,1,sim2_ppm,0.439,0.436,0.003,4,0.001,0.313,0.000,0.003,0.118
256,1,sim2_ppm,0.332,0.324,0.008,4,0.002,0.008,0.001,0.014,0.301
256,2,sim3_ppm,0.336,0.328,0.008,4,0.002,0.007,0.001,0.013,0.305
256,0,sim1_ppm,0.353,0.345,0.008,4,0.002,0.007,0.001,0.013,0.322
512,1,sim2_ppm,1.057,1.030,0.027,4,0.006,0.009,0.002,0.053,0.960
512,2,sim3_ppm,1.100,1.073,0.027,4,0.006,0.009,0.002,0.052,1.004
512,0,sim1_ppm,1.165,1.138,0.027,4,0.007,0.118,0.002,0.053,0.959
1024,0,sim1_ppm,4.524,4.416,0.108,4,0.037,0.015,0.007,0.211,4.146
1024,1,sim2_ppm,4.531,4.420,0.112,4,0.036,0.015,0.007,0.215,4.147
1024,2,sim3_ppm,4.581,4.472,0.109,4,0.035,0.015,0.007,0.212,4.203
2048,1,sim2_ppm,19.283,18.844,0.439,4,0.144,0.039,0.026,0.837,17.798
2048,0,sim1_ppm,19.425,18.985,0.440,4,0.148,0.139,0.025,0.831,17.841
2048,2,sim3_ppm,19.439,18.997,0.442,4,0.141,0.139,0.025,0.828,17.864
4096,2,sim3_ppm,77.761,76.002,1.759,4,0.571,0.146,0.106,3.256,71.923
4096,0,sim1_ppm,78.249,76.417,1.832,4,0.610,0.139,0.104,3.272,72.290
4096,1,sim2_ppm,78.961,77.019,1.943,4,0.588,0.143,0.107,3.281,72.900
