omp_threads,rank,scenario,elapsed_s,color_time_s,compute_time_s,reported_threads,h2d_s,kernel_s,d2h_s,format_s,write_s
1,0,sim1_ppm,79.731,77.697,2.034,1,0.604,0.135,0.101,3.316,73.541
1,2,sim3_ppm,79.973,78.006,1.967,1,0.570,0.238,0.101,3.272,73.825
1,1,sim2_ppm,82.254,79.922,2.332,1,0.600,0.241,0.105,3.293,75.683
2,1,sim2_ppm,85.251,83.545,1.706,2,0.636,0.150,0.112,3.219,79.428
2,2,sim3_ppm,85.340,83.635,1.705,2,0.627,0.158,0.113,3.193,79.544
2,0,sim1_ppm,86.703,84.963,1.741,2,0.644,0.170,0.128,3.207,80.814
4,2,sim3_ppm,79.029,77.307,1.722,4,0.608,0.166,0.122,3.180,73.230
4,0,sim1_ppm,80.312,78.578,1.733,4,0.635,0.189,0.138,3.174,74.442
4,1,sim2_ppm,81.046,79.308,1.738,4,0.623,0.213,0.141,3.195,75.136
8,2,sim3_ppm,80.599,78.864,1.735,8,0.583,0.175,0.125,3.179,74.802
8,0,sim1_ppm,81.739,79.981,1.759,8,0.621,0.185,0.134,3.192,75.849
8,1,sim2_ppm,81.742,80.003,1.739,8,0.624,0.180,0.126,3.226,75.846
16,0,sim1_ppm,80.342,78.564,1.778,16,0.602,0.245,0.109,3.248,74.358
16,2,sim3_ppm,80.952,79.193,1.760,16,0.578,0.363,0.113,3.249,74.890
16,1,sim2_ppm,81.253,79.435,1.818,16,0.587,0.160,0.122,3.275,75.291
32,0,sim1_ppm,84.577,82.777,1.800,32,0.594,0.233,0.102,3.272,78.576
32,2,sim3_ppm,84.679,82.893,1.786,32,0.570,0.336,0.102,3.274,78.610
32,1,sim2_ppm,85.165,83.376,1.789,32,0.589,0.545,0.102,3.343,78.797
