/btw/btwomp_threads,rank,scenario,elapsed_s,color_time_s,compute_time_s
1,0,sim1_ppm,5.914,5.794,0.119,1
1,2,sim3_ppm,6.017,5.890,0.127,1
1,1,sim2_ppm,6.097,5.975,0.122,1
2,0,sim1_ppm,5.982,5.873,0.109,2
2,2,sim3_ppm,6.023,5.913,0.110,2
2,1,sim2_ppm,6.139,6.029,0.110,2
4,2,sim3_ppm,5.583,5.473,0.110,4
4,1,sim2_ppm,5.580,5.468,0.112,4
4,0,sim1_ppm,5.645,5.534,0.111,4
8,1,sim2_ppm,6.307,6.194,0.113,8
8,2,sim3_ppm,6.315,6.202,0.114,8
8,0,sim1_ppm,6.323,6.199,0.124,8
16,2,sim3_ppm,5.385,5.264,0.121,16
16,0,sim1_ppm,5.388,5.269,0.119,16
16,1,sim2_ppm,5.488,5.367,0.121,16
