block_size,rank,scenario,elapsed_s,color_time_s,compute_time_s,omp_threads,h2d_s,kernel_s,d2h_s,format_s,write_s
32,0,sim1_ppm,84.402,82.648,1.754,4,0.609,0.246,0.114,3.199,78.480
32,2,sim3_ppm,85.596,83.869,1.727,4,0.587,0.173,0.133,3.172,79.803
32,1,sim2_ppm,85.605,83.847,1.757,4,0.591,0.275,0.132,3.197,79.652
64,1,sim2_ppm,82.711,80.975,1.736,4,0.588,0.160,0.117,3.210,76.901
64,2,sim3_ppm,83.184,81.440,1.744,4,0.580,0.157,0.118,3.170,77.415
64,0,sim1_ppm,84.408,82.687,1.721,4,0.612,0.184,0.136,3.165,78.590
128,2,sim3_ppm,80.758,79.021,1.737,4,0.594,0.147,0.112,3.166,75.001
128,0,sim1_ppm,84.427,82.702,1.725,4,0.632,0.219,0.150,3.161,78.539
128,1,sim2_ppm,84.430,82.716,1.714,4,0.622,0.218,0.152,3.178,78.547
256,2,sim3_ppm,80.311,78.573,1.738,4,0.584,0.156,0.115,3.175,74.543
256,1,sim2_ppm,81.505,79.770,1.734,4,0.598,0.161,0.121,3.203,75.687
256,0,sim1_ppm,82.221,80.399,1.822,4,0.651,0.164,0.133,3.155,76.296
512,0,sim1_ppm,80.609,78.907,1.702,4,0.656,0.178,0.127,3.136,74.809
512,2,sim3_ppm,80.621,78.926,1.695,4,0.633,0.197,0.134,3.126,74.835
512,1,sim2_ppm,81.311,79.600,1.711,4,0.638,0.208,0.142,3.131,75.480
1024,0,sim1_ppm,74.564,72.718,1.846,4,0.589,0.132,0.101,3.288,68.606
1024,2,sim3_ppm,74.918,73.167,1.752,4,0.572,0.236,0.102,3.305,68.952
1024,1,sim2_ppm,75.125,73.320,1.805,4,0.569,0.446,0.101,3.345,68.858
