Compiling...
=== Size sweep ===
Rank 1: simulation 'sim2_ppm' finished in 0.257 s (colorize+write 0.254 s, compute 0.003 s, 4 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 0.258 s (colorize+write 0.255 s, compute 0.003 s, 4 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 0.354 s (colorize+write 0.350 s, compute 0.004 s, 4 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 0.544 s (colorize+write 0.537 s, compute 0.008 s, 4 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 0.552 s (colorize+write 0.544 s, compute 0.008 s, 4 OpenMP threads).
Rank 1: simulation 'sim2_ppm' finished in 0.660 s (colorize+write 0.652 s, compute 0.007 s, 4 OpenMP threads).
Rank 1: simulation 'sim2_ppm' finished in 1.921 s (colorize+write 1.895 s, compute 0.027 s, 4 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 1.955 s (colorize+write 1.929 s, compute 0.027 s, 4 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 2.022 s (colorize+write 1.995 s, compute 0.027 s, 4 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 7.174 s (colorize+write 7.068 s, compute 0.106 s, 4 OpenMP threads).
Rank 1: simulation 'sim2_ppm' finished in 7.206 s (colorize+write 7.099 s, compute 0.107 s, 4 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 7.336 s (colorize+write 7.224 s, compute 0.112 s, 4 OpenMP threads).
Rank 1: simulation 'sim2_ppm' finished in 19.684 s (colorize+write 19.240 s, compute 0.444 s, 4 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 19.750 s (colorize+write 19.305 s, compute 0.445 s, 4 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 19.907 s (colorize+write 19.462 s, compute 0.445 s, 4 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 80.459 s (colorize+write 78.670 s, compute 1.789 s, 4 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 81.053 s (colorize+write 79.266 s, compute 1.787 s, 4 OpenMP threads).
Rank 1: simulation 'sim2_ppm' finished in 81.374 s (colorize+write 79.557 s, compute 1.817 s, 4 OpenMP threads).
=== Thread sweep ===
Rank 1: simulation 'sim2_ppm' finished in 77.860 s (colorize+write 75.834 s, compute 2.026 s, 1 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 78.132 s (colorize+write 76.141 s, compute 1.991 s, 1 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 79.528 s (colorize+write 77.353 s, compute 2.176 s, 1 OpenMP threads).
Rank 0: simulation 'sim1_ppm' finished in 81.803 s (colorize+write 80.061 s, compute 1.742 s, 2 OpenMP threads).
Rank 1: simulation 'sim2_ppm' finished in 81.806 s (colorize+write 80.050 s, compute 1.756 s, 2 OpenMP threads).
Rank 2: simulation 'sim3_ppm' finished in 81.807 s (colorize+write 80.049 s, compute 1.758 s, 2 OpenMP threads).
